		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 255.984375	M = 131072	N = 8	m = 9	n = 1048576
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  278  239  264  253  263  249  254  256  3.831321 0.872012 SUCCESS  76
100101000  215  240  249  261  255  253  287  254 12.060361 0.148531 SUCCESS  77
100110000  260  302  269  286  244  273  269  259 15.416422 0.051537 SUCCESS  78
100111000  261  244  247  269  291  256  275  246  8.510235 0.385278 SUCCESS  79
101000000  281  243  242  255  222  255  281  238 12.509225 0.129888 SUCCESS  80
101000100  269  245  273  263  299  281  257  236 14.163013 0.077614 SUCCESS  81
101001000  283  233  256  257  265  230  218  258 13.989907 0.082029 SUCCESS  82
101001100  263  283  265  288  231  249  257  271 11.251902 0.187831 SUCCESS  83
101010000  240  239  264  240  275  228  236  249  9.925639 0.270284 SUCCESS  84
101010100  260  278  283  231  247  265  240  262  9.327533 0.315423 SUCCESS  85
101011000  241  278  269  256  251  248  251  256  4.008341 0.856370 SUCCESS  86
101011100  247  270  266  218  265  224  259  227 15.247483 0.054508 SUCCESS  87
101100000  283  242  261  249  257  284  253  241  8.156321 0.418351 SUCCESS  88
101100100  278  251  274  232  251  235  249  270  8.564654 0.380340 SUCCESS  89
101101000  224  276  280  273  266  249  228  257 13.022861 0.111065 SUCCESS  90
101101100  247  271  239  254  263  259  234  245  5.094452 0.747435 SUCCESS  91
101110000  256  277  257  257  292  244  255  262  7.764149 0.456841 SUCCESS  92
101110100  268  283  247  217  234  275  260  268 14.061119 0.080186 SUCCESS  93
101111000  264  249  266  264  257  261  263  276  3.044957 0.931505 SUCCESS  94
101111100  254  256  256  261  267  254  257  238  1.934730 0.982948 SUCCESS  95
110000000  233  252  269  256  243  256  253  258  3.616675 0.889948 SUCCESS  96
110000010  253  237  257  255  267  244  285  258  5.988897 0.648476 SUCCESS  97
110000100  265  269  270  287  255  252  255  281  8.293695 0.405320 SUCCESS  98
110001000  248  247  272  285  243  237  284  238 11.637129 0.168143 SUCCESS  99
110001010  259  239  259  226  255  260  243  267  6.112129 0.634673 SUCCESS 100
110010000  255  249  251  257  255  264  251  261  0.771094 0.999322 SUCCESS 101
110010010  266  253  253  241  242  259  264  244  3.051271 0.931099 SUCCESS 102
110010100  239  254  266  274  291  243  265  288 13.003038 0.111745 SUCCESS 103
110011000  265  269  249  261  258  278  256  252  3.350513 0.910477 SUCCESS 104
110011010  238  267  270  246  252  262  263  242  4.192937 0.839310 SUCCESS 105
110100000  275  260  251  263  236  263  249  225  7.713897 0.461905 SUCCESS 106
110100010  270  257  285  274  283  259  256  251  8.596851 0.377437 SUCCESS 107
110100100  281  210  227  253  249  243  239  246 16.948998 0.030645 SUCCESS 108
110101000  254  259  250  264  273  262  276  240  4.423998 0.816988 SUCCESS 109
110101010  268  287  260  245  253  251  259  262  5.342053 0.720469 SUCCESS 110
110101100  255  253  267  285  240  262  265  262  5.584983 0.693608 SUCCESS 111
110110000  283  258  254  226  251  241  258  244  8.218063 0.412464 SUCCESS 112
110110010  233  248  254  259  252  257  246  245  3.403291 0.906564 SUCCESS 113
110110100  251  249  252  246  272  273  228  252  6.198872 0.624966 SUCCESS 114
110111000  279  253  266  260  266  279  264  251  5.552281 0.697241 SUCCESS 115
110111010  256  259  249  251  231  261  271  268  4.452281 0.814188 SUCCESS 116
110111100  255  243  268  256  262  249  248  274  3.180690 0.922512 SUCCESS 117
